sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,30,128,cpu,0,257856e32ba9c2724b34fde1c0bcdcd0a4eb58644d76af86fe9479c693322861,2.0223959049999394,0.24139876300023388,"[0.00011966300007770769, 0.00011285700020380318, 0.000109413000245695, 9.516000000076019e-05, 9.546199999022065e-05, 9.394600010637078e-05, 9.991399974751403e-05, 9.448999981032102e-05, 9.838999994826736e-05, 9.335899994766805e-05]",9.6925999969244e-05,9.465749985793082e-05,0.00010703825012114976
sobol,normal,30,128,gpu,1,257856e32ba9c2724b34fde1c0bcdcd0a4eb58644d76af86fe9479c693322861,2.0223959049999394,0.4732999719999498,"[0.00024088800000754418, 0.0002507879999029683, 0.0002409459998489183, 0.00023609800018675742, 0.00023400500003845082, 0.00023083299993231776, 0.00024493899991284707, 0.00022978100014370284, 0.0002484000001459208, 0.00023194200002762955]",0.0002384930000971508,0.00023245775003033486,0.00024394074989686487
sobol,normal,30,256,gpu,0,97115ce980ca97d156929444c7a2e0bdc12f09ebb532e089b42139d44587eb68,1.139221459000055,0.5120044209998014,"[0.00023099500003809226, 0.00022666400036541745, 0.0002424770000288845, 0.00021667700002581114, 0.00022343399996316293, 0.0002100500000778993, 0.0002055810000456404, 0.00024864200031515793, 0.0002233150003121409, 0.00021027499997217092]",0.00022337450013765192,0.00021187549998558097,0.00022991225011992356
sobol,normal,30,256,cpu,1,97115ce980ca97d156929444c7a2e0bdc12f09ebb532e089b42139d44587eb68,1.139221459000055,0.2122061590002886,"[0.0001990430000660126, 0.00017289799961872632, 0.00016406599979745806, 0.00016320299982908182, 0.00027176000003237277, 0.00030239900024753297, 0.0002258959998471255, 0.00020782199999302975, 0.0001993820001189306, 0.0002162539999517321]",0.00020360200005598017,0.0001794342497305479,0.00022348549987327715
sobol,normal,30,512,cpu,0,1f46a521b5ef4c25dc17ef07224f045fef6155565c9253cc882fc8298969b9c2,1.2025012230001266,0.21211096499973792,"[0.0003243000001020846, 0.0003519399997458095, 0.0003348059999552788, 0.00031922500011205557, 0.00033020000000760774, 0.00029969400020490866, 0.0002926980000665935, 0.0003247459999329294, 0.00029811300009896513, 0.00029236699992907234]",0.0003217625001070701,0.000298508250125451,0.00032883649998893816
sobol,normal,30,512,gpu,1,1f46a521b5ef4c25dc17ef07224f045fef6155565c9253cc882fc8298969b9c2,1.2025012230001266,0.5371645989998797,"[0.00020830800031035324, 0.0002210799998465518, 0.0002710700000534416, 0.0002634009997564135, 0.00026724700001068413, 0.0002702629999475903, 0.0002496259999134054, 0.00022977800017542904, 0.00025290200028393883, 0.00025572699996700976]",0.0002543145001254743,0.00023474000010992313,0.0002662854999471165
sobol,normal,30,2048,gpu,0,628983bd9c4fc62107762ac8637eba98244865017e15ec5c8b63ab98cb97e6f9,1.3799193209997611,0.7162598600002639,"[0.0002900470003623923, 0.0003025450000677665, 0.0003001400000357535, 0.00029617200016218703, 0.00027636499999061925, 0.00027407099969423143, 0.0002840349998223246, 0.0002847400000973721, 0.000274171999990358, 0.0002715890000217769]",0.00028438749995984836,0.0002747202499904233,0.00029464075021223834
sobol,normal,30,2048,cpu,1,628983bd9c4fc62107762ac8637eba98244865017e15ec5c8b63ab98cb97e6f9,1.3799193209997611,0.2352807889997166,"[0.0010002330000133952, 0.0011493940000946168, 0.0010890070002460561, 0.001125880000017787, 0.0011712600003193074, 0.0009820949999266304, 0.0010577019997981552, 0.0009923459997480677, 0.0009971929998755513, 0.00110850200007917]",0.0010733545000221056,0.0009979529999100123,0.0011215355000331328
sobol,normal,30,8192,cpu,0,f406792c26c8e60c9cfd71f1ffe0def18b8c90d4d705368490175ae568520550,1.3236745069998506,0.40061821099970985,"[0.0033806729998104856, 0.003503064999677008, 0.003309375999833719, 0.003235152000343078, 0.0035929629998463497, 0.003467635000106384, 0.003472077999958856, 0.003409682999972574, 0.003496954000183905, 0.00339211200025602]",0.003438659000039479,0.0033835327499218693,0.0034907350001276427
sobol,normal,30,8192,gpu,1,f406792c26c8e60c9cfd71f1ffe0def18b8c90d4d705368490175ae568520550,1.3236745069998506,0.7653636709997045,"[0.0003318650001347123, 0.0003983139999945706, 0.0003484379999463272, 0.0003471599998192687, 0.0003368350003256637, 0.00033365800027240766, 0.0003389729999980773, 0.00033525699973324663, 0.00033213200003956445, 0.000337035000029573]",0.00033693500017761835,0.0003340577501376174,0.00034511324986397085
sobol,normal,30,32768,gpu,0,f104193ea1af982c10b6746eec08f03d93f2025685b9d93bdd033ad1acc8fee7,1.3928411060001054,0.7631959679997635,"[0.0004119300001548254, 0.00046479699994961265, 0.00044898899977852125, 0.0004465530000743456, 0.00042458200005057734, 0.00043214300012550666, 0.000425867000103608, 0.00043104899987156386, 0.000426863000029698, 0.00042445600001883577]",0.00042895599995063094,0.000424903250063835,0.0004429505000871359
sobol,normal,30,32768,cpu,1,f104193ea1af982c10b6746eec08f03d93f2025685b9d93bdd033ad1acc8fee7,1.3928411060001054,0.24019516499993188,"[0.01273799999989933, 0.013075960000151099, 0.012082196999926964, 0.012967970000318019, 0.012849182000081782, 0.0129092879997188, 0.012888635999843245, 0.012835136999910901, 0.01211188100023719, 0.012780543000189937]",0.012842159499996342,0.012748635749971982,0.01290412499974991
sobol,normal,60,128,cpu,0,8b25cafa0a1b6391a93201274f76d8e8018b91a5740a17bff3723fc4a943d9c7,2.04402798000001,0.1814276800000698,"[0.0001349320000372245, 0.000146480000239535, 0.00012456100012059323, 0.00013130700017427444, 0.0001233140001204447, 0.00012199899992992869, 0.00012192999975013663, 0.00012078600002496387, 0.00012129700007790234, 0.00013286400007928023]",0.00012393750012051896,0.00012194724979508464,0.00013247475010302878
sobol,normal,60,128,gpu,1,8b25cafa0a1b6391a93201274f76d8e8018b91a5740a17bff3723fc4a943d9c7,2.04402798000001,0.4268421390002004,"[0.00015955499975461862, 0.00015996000001905486, 0.0001955650000127207, 0.00021015199990870315, 0.00016775599988250178, 0.000165392000326392, 0.00016129000005093985, 0.00015846199994484778, 0.00015630999996574246, 0.00020744299990838044]",0.00016334100018866593,0.00015965624982072768,0.00018861274998016597
